backbone,mode,port,params_m,flops_g,best_epoch,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,normal_support,lowvis_precision,lowvis_recall,lowvis_f1,lowvis_support,seafog_precision,seafog_recall,seafog_f1,seafog_support,aber_normal_to_lowvis,aber_normal_to_seafog,aber_lowvis_to_normal,aber_lowvis_to_seafog,aber_seafog_to_lowvis,aber_seafog_to_normal
convnext,base,daesan,87.57,80.22,9,0.9143676812647872,0.9088888888888887,0.909791452991453,0.9143676812647872,0.9088888888888887,0.909791452991453,0.909967845659164,0.9433333333333334,0.9263502454991815,600,0.8369230769230769,0.9066666666666666,0.8704,600,0.9962121212121212,0.8766666666666667,0.9326241134751772,600,0.0566666666666666,0.0,0.09,0.0033333333333333,0.12,0.0033333333333333
convnext,base,gunsan,87.57,80.22,3,0.8834526019820436,0.8777777777777778,0.8784571325894724,0.8834526019820436,0.8777777777777778,0.8784571325894723,0.9539347408829176,0.8283333333333334,0.8867082961641392,600,0.7978723404255319,0.875,0.834658187599364,600,0.8985507246376812,0.93,0.914004914004914,600,0.1533333333333333,0.0183333333333333,0.0383333333333333,0.0866666666666666,0.0683333333333333,0.0016666666666666
convnext,base,yeosu,87.57,80.22,1,0.8393941871115228,0.755,0.7287706529969268,0.8393941871115228,0.755,0.7287706529969268,0.9717607973421928,0.975,0.9733777038269552,600,0.5809045226130654,0.9633333333333334,0.7247648902821316,600,0.9655172413793104,0.3266666666666666,0.4881693648816936,600,0.0216666666666666,0.0033333333333333,0.0283333333333333,0.0083333333333333,0.6733333333333333,0.0
convnext,base,haeundae,87.57,80.22,9,0.7910846836229211,0.7799999999999999,0.7736098548244725,0.7910846836229211,0.78,0.7736098548244725,0.8734835355285961,0.84,0.8564146134239592,600,0.7035175879396985,0.9333333333333332,0.8022922636103151,600,0.7962529274004684,0.5666666666666667,0.6621226874391432,600,0.0733333333333333,0.0866666666666666,0.0083333333333333,0.0583333333333333,0.32,0.1133333333333333
convnext,typeA_11,daesan,88.87,81.97,1,0.905348322433438,0.9,0.8995398991936395,0.905348322433438,0.9,0.8995398991936395,0.8319088319088319,0.9733333333333334,0.8970814132104454,600,0.8947368421052632,0.7933333333333333,0.8409893992932862,600,0.9893992932862192,0.9333333333333332,0.9605488850771868,600,0.0266666666666666,0.0,0.1966666666666666,0.01,0.0666666666666666,0.0
convnext,typeA_11,gunsan,88.87,81.97,13,0.821076931684298,0.791111111111111,0.7868687807469651,0.8210769316842981,0.7911111111111111,0.7868687807469651,0.94579945799458,0.5816666666666667,0.7203302373581011,600,0.6701030927835051,0.8666666666666667,0.7558139534883721,600,0.8473282442748091,0.925,0.8844621513944223,600,0.3516666666666667,0.0666666666666666,0.0333333333333333,0.1,0.075,0.0
convnext,typeA_11,yeosu,88.87,81.97,4,0.854469293896878,0.7727777777777778,0.7535423843787666,0.8544692938968779,0.7727777777777778,0.7535423843787667,0.9829642248722316,0.9616666666666668,0.9721988205560236,600,0.5977596741344195,0.9783333333333334,0.7420986093552465,600,0.9826839826839828,0.3783333333333333,0.54632972322503,600,0.0383333333333333,0.0,0.015,0.0066666666666666,0.62,0.0016666666666666
convnext,typeA_11,haeundae,88.87,81.97,5,0.7774180414778518,0.7633333333333333,0.7486772073242695,0.7774180414778519,0.7633333333333333,0.7486772073242693,0.8185975609756098,0.895,0.8550955414012739,600,0.6933667083854819,0.9233333333333332,0.7919942816297355,600,0.8202898550724638,0.4716666666666667,0.5989417989417989,600,0.055,0.05,0.0233333333333333,0.0533333333333333,0.3533333333333333,0.175
convnext,typeA_3,daesan,86.85,79.24,2,0.9314023701484992,0.9305555555555556,0.9304596216691168,0.9314023701484992,0.9305555555555556,0.9304596216691168,0.8935837245696401,0.9516666666666668,0.9217110573042776,600,0.9175438596491228,0.8716666666666667,0.8940170940170941,600,0.9830795262267344,0.9683333333333334,0.9756507136859782,600,0.0483333333333333,0.0,0.1116666666666666,0.0166666666666666,0.03,0.0016666666666666
convnext,typeA_3,gunsan,86.85,79.24,14,0.8841819641657404,0.8783333333333333,0.8787740023994032,0.8841819641657404,0.8783333333333333,0.8787740023994032,0.9534883720930232,0.82,0.8817204301075269,600,0.8087349397590361,0.895,0.8496835443037974,600,0.8903225806451613,0.92,0.9049180327868852,600,0.14,0.04,0.0316666666666666,0.0733333333333333,0.0716666666666666,0.0083333333333333
convnext,typeA_3,yeosu,86.85,79.24,2,0.8191116258911036,0.7266666666666667,0.6884408965591785,0.8191116258911036,0.7266666666666667,0.6884408965591787,0.9797979797979798,0.97,0.9748743718592964,600,0.5530085959885387,0.965,0.7030965391621129,600,0.9245283018867924,0.245,0.3873517786561264,600,0.025,0.005,0.02,0.015,0.755,0.0
convnext,typeA_3,haeundae,86.85,79.24,20,0.7455686507844216,0.7277777777777779,0.7069911792739475,0.7455686507844217,0.7277777777777777,0.7069911792739475,0.8387096774193549,0.8666666666666667,0.8524590163934426,600,0.6381278538812786,0.9316666666666666,0.7574525745257452,600,0.7598684210526315,0.385,0.5110619469026548,600,0.0683333333333333,0.065,0.0116666666666666,0.0566666666666666,0.46,0.155
convnext,typeA_7,daesan,87.57,80.22,10,0.920953414303798,0.918888888888889,0.9191713361875956,0.9209534143037978,0.9188888888888888,0.9191713361875956,0.8913043478260869,0.9566666666666668,0.9228295819935692,600,0.8840336134453781,0.8766666666666667,0.8803347280334728,600,0.9875222816399288,0.9233333333333332,0.954349698535745,600,0.0433333333333333,0.0,0.1116666666666666,0.0116666666666666,0.0716666666666666,0.005
